"V1","V2","V3","V4","V5","V6","V7"
0.59334602,0.56935119,-0.050652758,-0.025790596,0.68786112,0.8947287,0
0.49730589,0.68436485,-0.41130523,-0.85955255,-0.37786573,-0.94572324,0
0.45479077,-0.12515436,-0.230979,0.50037395,1.0762812,0.93738818,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1.2317503,4.9841062,-0.32114211,0.5560706,-0.37786573,0.72409077,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.1621019,-0.35075807,2.5189961,-0.85955255,-0.37786573,-0.94572324,0
-0.13059667,-0.45250093,0.76081531,1.0742182,0.2702034,0.80331553,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.36281583,0.63128162,0.039510361,0.062817709,-0.37786573,0.66314866,0
0.60130701,-0.45250093,-0.14081588,-0.85955255,-0.37786573,-0.94572324,0
-0.2821944,-0.45250093,-0.14081588,1.3387773,-0.37786573,0.96785924,0
-0.058439538,-0.15611958,0.62557063,0.29277736,-0.37786573,1.1598269,0
1.2651188,1.9229735,-0.230979,1.3700012,-0.37786573,0.85816343,0
0.32351899,1.3302108,0.08459192,-0.85955255,-0.37786573,-0.94572324,0
0.028962059,-0.3949941,-0.32114211,1.5096647,-0.37786573,1.565092,0
0.61993914,2.7015275,-0.45638679,1.6387797,-0.37786573,0.4285215,0
0.47782685,1.7194878,-0.095734317,1.242574,1.2105835,0.51079336,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1.0393313,1.3080928,-0.32114211,0.96451269,-0.37786573,0.86425764,0
-0.42108841,-0.44807732,0.49032595,0.49024729,-0.37786573,0.65400734,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1.664185,4.0507262,-0.36622367,1.6096655,-0.37786573,0.67838418,0
-0.13635569,-0.36845248,0.30999972,-0.85955255,-0.37786573,-0.94572324,0
-0.098922061,-0.30209845,0.85097843,0.31429652,-0.37786573,0.92824687,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.42701682,-0.43480652,1.301794,1.1940504,-0.37786573,0.27921332,0
-0.19191329,-0.35518168,0.98622311,0.10416825,-0.37786573,0.95567082,0
-0.3099732,-0.41268851,0.30999972,0.014294113,-0.37786573,1.4127367,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.55879674,-0.30652205,10.994329,-0.85955255,-0.37786573,-0.94572324,0
-0.21291678,-0.24016802,1.6624465,0.26070959,-0.37786573,0.95262371,0
-0.29760825,-0.35518168,-0.59163147,0.15311379,-0.37786573,0.57173548,0
0.060467286,-0.31536926,0.40016284,0.37421261,-0.37786573,0.98309477,0
0.70700197,0.029671718,-0.230979,0.88687494,-0.37786573,0.95871792,0
-0.24611584,-0.43480652,-0.14081588,0.689405,-0.37786573,1.2085806,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
7.5946205,-0.42153571,-0.54654991,-0.85955255,-0.37786573,-0.94572324,0
-0.41007852,-0.45250093,0.12967348,-0.85955255,-0.37786573,-0.94572324,0
-0.2960838,-0.30209845,2.4739146,0.5189395,0.10356834,1.0044245,0
-0.22900816,-0.42595931,-0.18589744,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.17531377,-0.44807732,-0.14081588,1.6231678,1.4062258,0.77284447,0
-0.30472233,-0.45250093,-0.050652758,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.10400355,-0.31094565,0.58048907,1.6805522,-0.37786573,0.96785924,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1.0850647,5.0460367,0.35508128,1.4172589,-0.37786573,0.45899256,0
0.085027813,0.26854624,-0.14081588,0.64003752,-0.37786573,0.86121054,0
-0.069957578,-0.33748727,-0.050652758,0.6788564,-0.37786573,0.59915943,0
0.25119248,-0.28882764,-0.095734317,0.16619406,-0.37786573,0.9983303,0
-0.16261005,-0.42595931,-0.0055711987,1.015146,-0.37786573,1.2725698,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.042517541,0.073907741,2.2935883,-0.85955255,-0.37786573,-0.94572324,0
-0.29964084,-0.30209845,-0.27606055,-0.1696736,4.8789913,1.1537327,0
0.66380932,0.81264932,0.62557063,0.71050222,-0.37786573,1.0288014,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.13533939,-0.38172329,0.30999972,0.66830779,1.4310186,1.2634285,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.46953193,-0.42595931,1.301794,0.43708231,-0.37786573,0.89777581,0
-0.377557,-0.44807732,-0.36622367,0.10121464,3.0021491,0.55040574,0
-0.32911348,-0.44807732,-0.18589744,-0.1477325,-0.37786573,0.15732908,0
0.27812436,-0.26228603,0.76081531,-0.85955255,-0.37786573,-0.94572324,0
0.29624834,-0.12957796,0.2198366,1.1337124,0.3157062,1.3761714,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.030317123,-0.38614689,0.35508128,-0.85955255,-0.37786573,-0.94572324,0
-0.55540908,-0.45250093,1.8427727,-0.85955255,-0.37786573,-0.94572324,0
12.743862,-0.45250093,-0.54654991,-0.85955255,-0.37786573,-0.94572324,0
0.88299084,2.7811523,0.49032595,0.88012383,1.0349599,0.57478259,0
0.44937052,0.1977686,-0.0055711987,1.1835018,0.55003572,1.2695227,0
-0.17870143,-0.43923012,-0.18589744,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.22003086,-0.31536926,0.94114155,0.30163819,-0.37786573,0.64486602,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.24865658,-0.41268851,0.53540751,0.73961638,0.66082943,1.0257543,0
-0.45852204,-0.45250093,1.8427727,1.1484804,0.057867993,0.44680414,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.70920395,0.13583817,-0.45638679,-0.85955255,-0.37786573,-0.94572324,0
0.34655507,-0.41711211,0.17475504,1.6079778,0.25416877,0.86425764,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.037769972,-0.30209845,0.30999972,0.79151553,0.40865438,1.1598269,0
0.14549752,-0.39057049,-0.27606055,1.2780173,-0.37786573,0.76370315,0
0.20037759,0.45876114,-0.14081588,-0.85955255,-0.37786573,-0.94572324,0
0.078760644,0.21103941,0.30999972,1.7780213,-0.37786573,0.80331553,0
-0.22324914,-0.33306367,-0.41130523,0.50923478,-0.37786573,0.8429279,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.062504728,-0.43480652,-0.050652758,0.54594394,0.62599444,0.92519976,0
0.97157812,5.0814255,-0.54654991,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
1.2198935,0.44106673,-0.0055711987,1.3915203,-0.37786573,1.1537327,0
0.069952731,-0.45250093,0.17475504,-0.85955255,-0.37786573,-0.94572324,0
0.20241019,0.22873382,-0.14081588,0.51514201,-0.37786573,0.73018498,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.98411246,1.1798083,0.039510361,0.76788664,-0.37786573,0.60525364,0
-0.43396152,-0.45250093,-0.095734317,0.18391572,-0.37786573,0.61439496,0
1.1011561,3.8560877,-0.230979,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
0.73901535,0.25527543,-0.45638679,-0.85955255,-0.37786573,-0.94572324,0
0.41329195,0.30835866,-0.36622367,0.93160104,1.2594118,1.1537327,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324,0
-0.4480203,-0.45250093,0.76081531,-0.85955255,-0.37786573,-0.94572324,0
0.13635084,-0.35518168,-0.27606055,-0.85955255,-0.37786573,-0.94572324,0
0.83319226,0.59589281,-0.18589744,1.6370919,-0.37786573,1.1202145,0
